"label","youtube_id","time_start","time_end","split","is_cc"
"baking cookies","8W_0eZYmCwY",742,752,"train",0
"balloon blowing","xwiCdYSIGzc",3,13,"train",0
"balloon blowing","YriX5IofhK8",289,299,"train",0
"balloon blowing","SThHVzKgGmQ",21,31,"train",0
"balloon blowing","I7CuJA2BX-E",37,47,"train",0
"balloon blowing","po0aCTZaf1w",0,10,"train",0
"bandaging","Pn2mmcllOSQ",517,527,"train",0
"bandaging","AcJkrxdm88M",97,107,"train",0
"bandaging","y2UIUcN8fcs",87,97,"train",0
"bandaging","WXcrpouwF9c",25,35,"train",0
"bandaging","M8Cl5neV8YQ",187,197,"train",0
"barbequing","IdxDTfF7uu0",8,18,"train",0
"barbequing","4MWQMcCipE0",15,25,"train",0
"barbequing","pGZ39yYxeBk",260,270,"train",0
"barbequing","gIJPAeBJiiE",15,25,"train",0
"barbequing","elojQbZ6Hxs",125,135,"train",0
"bartending","hh6du-oR6ws",53,63,"train",0
"bartending","zA9fWLTgr8g",147,157,"train",0
"bartending","YZwm19ENOzE",25,35,"train",0
"bartending","nworH8n36lY",537,547,"train",0
"bartending","o1jK6MqyzaI",64,74,"train",0
"beatboxing","FC_krIyJrGE",16,26,"train",0
"beatboxing","ZpfYkRjFA-k",47,57,"train",0
"beatboxing","6eNfdCL9Hp0",4,14,"train",0
"beatboxing","hf22p3a338s",127,137,"train",0
"beatboxing","bryWWQkWjY8",139,149,"train",0
"bee keeping","9rwVZDpNchs",74,84,"train",0
"bee keeping","HZq9Sac-hC4",15,25,"train",0
"bee keeping","82rXGnBFGac",25,35,"train",0
"bee keeping","u6OVWNVzgXc",66,76,"train",0
"bee keeping","25-z4KitoAo",4,14,"train",0
"belly dancing","07HFe-JXPa8",4,14,"train",0
"belly dancing","mutsJ8F0aKI",1,11,"train",1
"belly dancing","GaNFuWj6fPs",157,167,"train",0
"belly dancing","BuIov4ij9iw",401,411,"train",0
"belly dancing","Nb9NJjrY9ew",49,59,"train",0
"bench pressing","my4OO9xmQ4Q",11,21,"train",0
"bench pressing","foCvfVO08FY",0,10,"train",0
"bench pressing","zsjRCt0b87w",4,14,"train",0
"bench pressing","Z3zwDjmDFO4",23,33,"train",0
"bench pressing","Ds808KER-Xo",4,14,"train",0
"bending back","5t88B4Yva4o",22,32,"train",0
"bending back","vofYlKMTMxs",5,15,"train",0
"bending back","UCf3NQSFjq4",10,20,"train",0
"bending back","DuDQ5Zp4ljc",64,74,"train",0
"bending back","1lyuKn0OXXI",3,13,"train",0
"bending metal","vnaAbTfzrRI",65,75,"train",0
"bending metal","3rherdyTLNk",25,35,"train",0
"bending metal","mv-FvlIHzG8",217,227,"train",0
"bending metal","aQg2yGBGa4w",126,136,"train",0
"bending metal","3QzrwPx9fNs",2,12,"train",0
"biking through snow","efTjynG-8VM",46,56,"train",0
"biking through snow","bWktZSsw-OM",43,53,"train",0
"biking through snow","4YD1e9dSvEc",2,12,"train",0
"biking through snow","hm9nETgh9AY",3,13,"train",0
"biking through snow","xOYTgFa0ZeQ",1070,1080,"train",0
"blasting sand","DbRziEE8tWQ",81,91,"train",0
"blasting sand","hq0_ITGtQvs",7,17,"train",0
"blasting sand","tJzIKbqbUA8",41,51,"train",0
"blasting sand","nPrCDJlwK3I",20,30,"train",0
"blasting sand","Ca2cKyaFmGw",37,47,"train",0
"blowing glass","q_9QYD6E9kQ",97,107,"train",0
"blowing glass","sNhK3kFa3Do",40,50,"train",0
"blowing glass","cvBGvSixj6w",1,11,"train",0
"blowing glass","FM4kTFBUKRc",139,149,"train",0
"blowing glass","vlY8vOjd130",16,26,"train",0
"blowing leaves","Stl-weIEUAE",47,57,"train",0
"blowing leaves","wvk2je99xg0",13,23,"train",0
"blowing leaves","KCOgrVlEN98",25,35,"train",0
"blowing leaves","HSqq5kYAp1A",2,12,"train",0
"blowing leaves","d_LQxrgzAQg",4,14,"train",0
"blowing nose","2wv3yBNbvWQ",0,10,"train",0
"blowing nose","EqmYJIfxJ6o",3,13,"train",0
"blowing nose","nN-xIHZluCU",0,10,"train",0
"blowing nose","muBc_BQJJFw",39,49,"train",0
"blowing nose","RuED175qMHo",2,12,"train",0
"blowing out candles","9mseZkne7_Y",11,21,"train",0
"blowing out candles","Yyavkgon2BU",12,22,"train",0
"blowing out candles","cdwZEqDOxbA",19,29,"train",0
"blowing out candles","vth8f6scvjg",1,11,"train",0
"blowing out candles","aqbQp0t7Y8I",1,11,"train",0
"bobsledding","grbN-_D3GN4",48,58,"train",0
"bobsledding","NCRfIozcWzY",52,62,"train",0
"bobsledding","HbcrcSSdle0",16,26,"train",0
"bobsledding","nIrXZ4iyynU",4,14,"train",0
"bobsledding","DNSSfMmMIJE",13,23,"train",0
"bookbinding","h0bc4vGFXhE",217,227,"train",0
"bookbinding","rAXyHLoGr9A",708,718,"train",0
"bookbinding","osnKPhs-xKk",145,155,"train",0
"bookbinding","YohRlabzkUM",89,99,"train",0
"bookbinding","m4K6MJ0ugtY",591,601,"train",0
"bouncing on trampoline","Yo1xCF9wwag",29,39,"train",0
"bouncing on trampoline","QvpjrawPuB0",53,63,"train",0
"bouncing on trampoline","6Dkszj_0VWk",164,174,"train",0
"bouncing on trampoline","R0ndl7krp_s",8,18,"train",0
"bouncing on trampoline","L_c31OvMTXY",12,22,"train",0
"bowling","71lm_uFmRnc",109,119,"train",0
"bowling","avGXdeE5zSY",94,104,"train",0
"bowling","ZWk6JsoR5M0",69,79,"train",0
"bowling","bcONbshfnH8",10,20,"train",0
"bowling","WyXsAPnc1MI",33,43,"train",1
"braiding hair","mBQc6tugieg",216,226,"train",0
"braiding hair","AHEA3u35xr8",80,90,"train",0
"braiding hair","UV2G_ARwpZM",393,403,"train",0
"braiding hair","utyD1ci_C-0",328,338,"train",0
"braiding hair","EbicrlV4dOQ",214,224,"train",0
"breading or breadcrumbing","Sf_OjVuKVlU",70,80,"train",0
"breading or breadcrumbing","Vo_oKICFbUk",104,114,"train",0
"breading or breadcrumbing","3IVAPCUxZ_s",190,200,"train",0
"breading or breadcrumbing","480xMXD-URw",160,170,"train",0
"breading or breadcrumbing","6qwbz2P-3hw",177,187,"train",0
"breakdancing","Ay2621eqxzI",140,150,"train",0
"breakdancing","8c342hjlvu0",53,63,"train",0
"breakdancing","zCUbySD7Kb0",135,145,"train",1
"breakdancing","vsEusfSVkLY",28,38,"train",0
"breakdancing","1tcs55w5UZM",38,48,"train",0
"brush painting","Ag6gsOWT3PY",549,559,"train",0
"brush painting","CyMLBCHNqT8",187,197,"train",0
"brush painting","KaTrr6klx68",108,118,"train",0
"brush painting","E43Y4jKmkNg",71,81,"train",0
"brush painting","IRNga7cdHZ8",158,168,"train",0
"brushing hair","Fws1BnaeYgE",133,143,"train",0
"brushing hair","BNgYqTcQ2AY",3,13,"train",0
"brushing hair","CLc_gV9NcME",28,38,"train",0
"brushing hair","8sS2H3hrhlQ",18,28,"train",0
"brushing hair","ITJDjU3c5Gk",1,11,"train",0
"brushing teeth","3b14QugRfjU",13,23,"train",0
"brushing teeth","Y8cfdMu8arA",80,90,"train",1
"brushing teeth","--mQfG6Wu48",28,38,"train",0
"brushing teeth","eB4JKVhOFH0",4,14,"train",0
"brushing teeth","IKG6W6LmSlw",0,10,"train",0
"building cabinet","aKWAFwguqQA",84,94,"train",0
"building cabinet","kI1Rj7FIXUE",58,68,"train",0
"building cabinet","1jisjRDieQU",524,534,"train",0
"building cabinet","BC5mUDkt1KQ",86,96,"train",0
"building cabinet","4ztmGmAGedc",171,181,"train",0
"building shed","Afq1WOeJYxs",57,67,"train",0
"building shed","vE9g_Zms35k",21,31,"train",0
"building shed","lyQWAnN3SZ8",28,38,"train",0
"building shed","G7PFfcKLMoU",85,95,"train",0
"building shed","2Jp11scLcpo",16,26,"train",1
"bungee jumping","QCXr5jC7rvA",217,227,"train",0
"bungee jumping","PVKkSBrgn_I",2,12,"train",0
"bungee jumping","Qfrc52xDvgc",15,25,"train",1
"bungee jumping","O6kvhnDN56o",5,15,"train",0
"bungee jumping","2-KM_3XGJLs",106,116,"train",0
"busking","zktIMXI8_7Q",108,118,"train",0
"busking","gbvY3gyrmKY",8,18,"train",0
"busking","Vcb6jjLdrQQ",126,136,"train",0
"busking","lIWL8DN29dQ",90,100,"train",0
"busking","spIIpo5N0Rk",2,12,"train",0
"canoeing or kayaking","ROCHrsxxndc",49,59,"train",0
"canoeing or kayaking","YkM_aKGcnpU",5,15,"train",0
"canoeing or kayaking","tbE0q1VYGZ8",8,18,"train",1
"canoeing or kayaking","2MGdq7_9G-o",26,36,"train",0
"canoeing or kayaking","4IZkyZOivZg",39,49,"train",0
"capoeira","xxpM0u87v78",109,119,"train",0
"capoeira","H3JDOUjMzcg",58,68,"train",0
"capoeira","DE3NDhl5K_k",11,21,"train",1
"capoeira","rKn9k1Ygscw",41,51,"train",0
"capoeira","scoBN5--BXg",24,34,"train",0
"carrying baby","CLVKc5Ai7d8",15,25,"train",0
"carrying baby","Qgh4Icg08Sw",37,47,"train",0
"carrying baby","rpfvSQ_HaOQ",62,72,"train",0
"carrying baby","pA4e2NzqEmc",109,119,"train",0
"carrying baby","0Qq7BATHA1U",3,13,"train",0
"cartwheeling","Alyb2ByEnNM",2,12,"train",0
"cartwheeling","LW9-qUXHHnM",3,13,"train",0
"cartwheeling","KzRiVQzzQ8Q",4,14,"train",0
"cartwheeling","ROaKqKE1qP0",1,11,"train",0
"cartwheeling","NREfmWzTbac",14,24,"train",0
"carving pumpkin","-j4lBbuFUjg",1320,1330,"train",0
"carving pumpkin","powl3GZ_gRQ",33,43,"train",0
"carving pumpkin","i9oaLM6Af0c",50,60,"train",0
"carving pumpkin","shTi-1dHGyA",19,29,"train",0
"carving pumpkin","B_OErpGyNFM",316,326,"train",0
"catching fish","Cll-fNm_8q8",6,16,"train",0
"catching fish","EAbQ4KTtMDM",1,11,"train",0
"catching fish","LM9IyZzOe5I",8,18,"train",0
"catching fish","0QrJg_OGVfE",9,19,"train",0
"catching fish","LExEO4lWn5k",2,12,"train",0
"catching or throwing baseball","pI2cfdmRDFc",2,12,"train",0
"catching or throwing baseball","VNnGytJD1Kw",50,60,"train",0
"catching or throwing baseball","eR3B1wnpzv4",233,243,"train",0
"catching or throwing baseball","CpDDfgiV4is",2,12,"train",0
"catching or throwing baseball","KJG-esy3ZKU",68,78,"train",0
"catching or throwing frisbee","VrOm02cOyyg",18,28,"train",0
"catching or throwing frisbee","7dzuei-o50k",2,12,"train",0
"catching or throwing frisbee","7GTqvD903tM",0,10,"train",0
"catching or throwing frisbee","UUQ-QfhIYqc",2,12,"train",0
"catching or throwing frisbee","aCeBkn7hjbM",29,39,"train",0
"catching or throwing softball","YZIl1XdrdHI",95,105,"train",0
"catching or throwing softball","mTrlysED9Jg",0,10,"train",0
"catching or throwing softball","v2j0ci53WeY",5,15,"train",0
"catching or throwing softball","3R-1x4pPBBQ",12,22,"train",0
"catching or throwing softball","kNafoQGgUw4",29,39,"train",0
"celebrating","A69wnCBk3Jw",208,218,"train",0
"celebrating","NQDmjzf8Yhk",37,47,"train",1
"celebrating","tKeO0KZJhcs",47,57,"train",0
"celebrating","cTUJ0l9BAKQ",3,13,"train",0
"celebrating","pMqQA7W9LO8",3,13,"train",0
"changing oil","6zlJW3koEYs",206,216,"train",0
"changing oil","W3JzRNLNxyY",7,17,"train",0
"changing oil","Vmyx3dD9VAo",9,19,"train",0
"changing oil","JK98h3oY6PQ",426,436,"train",0
"changing oil","HLHzuG6x-UY",310,320,"train",0
"changing wheel","4F2J-ESGoxY",27,37,"train",0
"changing wheel","1NlFT4HqIJ0",184,194,"train",0
"changing wheel","QwCYTkJd1Qg",18,28,"train",0
"changing wheel","LmZ-AT7JUyk",37,47,"train",0
"changing wheel","k7huzuaFf2g",4,14,"train",0
"checking tires","jBFYCNWxWqs",1,11,"train",0
"checking tires","ChjYCBcAQC4",20,30,"train",0
"checking tires","64wfuv1LDnY",43,53,"train",0
"checking tires","CiybXAacA94",47,57,"train",0
"checking tires","a8VzIlmkG9M",39,49,"train",0
"cheerleading","JAtDkUiFG_U",52,62,"train",0
"cheerleading","Yu_hjtxcIV4",312,322,"train",1
"cheerleading","H0m4L0NSnq4",2,12,"train",0
"cheerleading","g6yY93QR1Jo",52,62,"train",0
"cheerleading","mShOu_s9rXU",136,146,"train",0
"chopping wood","0TdX2-rZV4k",35,45,"train",0
"chopping wood","X7qkZvf6jyE",71,81,"train",0
"chopping wood","duqwJwH2qlM",0,10,"train",0
"chopping wood","lbDuZ1pkD-A",8,18,"train",0
"chopping wood","9y77yIqIiD8",367,377,"train",0
"clapping","3MPNEB6lWPo",15,25,"train",0
"clapping","YyTnAfeqS2U",3,13,"train",0
"clapping","Ryb0K9lGPrg",0,10,"train",0
"clapping","CnPtDLTldTE",154,164,"train",0
"clapping","5HH4AdueVlg",6,16,"train",0
"clay pottery making","Yi5lI7yqFbI",13,23,"train",0
"clay pottery making","qBpYlZA9Pac",49,59,"train",0
"clay pottery making","zBUS9HLTrIs",0,10,"train",0
"clay pottery making","7QGcnxNsx9g",250,260,"train",0
"clay pottery making","u5TnYKMuaQ8",80,90,"train",0
"clean and jerk","fT51maetNDw",29,39,"train",0
"clean and jerk","WH483cQcd0o",9,19,"train",0
"clean and jerk","KK6UKzuv2k8",7,17,"train",0
"clean and jerk","kCgWKB0iU8s",3,13,"train",0
"clean and jerk","DuemyTcKzhc",8,18,"train",0
"cleaning floor","qgEUBXsofME",1,11,"train",0
"cleaning floor","DnHuTpxCdO0",28,38,"train",0
"cleaning floor","AJSUZjyxW3s",70,80,"train",0
"cleaning floor","Hbf1u2bMTXc",68,78,"train",0
"cleaning floor","AV4t72IYADk",48,58,"train",0
"cleaning gutters","tqusXPpE9XI",0,10,"train",0
"cleaning gutters","qZ-QZXjKoJ8",26,36,"train",0
"cleaning gutters","7dIfKM05MZc",37,47,"train",0
"cleaning gutters","mMEXa7CPXU8",6,16,"train",0
"cleaning gutters","-DNpxXEiq1U",31,41,"train",0
"cleaning pool","-KHhxbEBK0U",1,11,"train",0
"cleaning pool","-ICEa3_eQp4",33,43,"train",0
"cleaning pool","vvUgrfFyKyk",107,117,"train",0
"cleaning pool","KKordkZCQQY",16,26,"train",0
"cleaning pool","EgZomyFHqnI",0,10,"train",0
"cleaning shoes","zmX5OPl1BcE",165,175,"train",0
"cleaning shoes","M8hSEMPVoiM",25,35,"train",0
"cleaning shoes","W6LqzFZhZMU",63,73,"train",0
"cleaning shoes","V5GjTl2w3U8",232,242,"train",0
"cleaning shoes","tKC3otn2BRc",264,274,"train",0
"cleaning toilet","sJMZz_GhjrI",23,33,"train",0
"cleaning toilet","U-uQxfxPgTw",278,288,"train",0
"cleaning toilet","jVxiz3GYQmA",19,29,"train",0
"cleaning toilet","zS6elR5IfH8",44,54,"train",0
"cleaning toilet","XUPOqkcQSec",82,92,"train",0
"cleaning windows","kSwxEchcie0",33,43,"train",0
"cleaning windows","BV1_YBBd-lE",27,37,"train",0
"cleaning windows","lwd56U-2bEs",25,35,"train",0
"cleaning windows","lmZwYEN4mCs",0,10,"train",0
"cleaning windows","QqTvcF8ihWA",1,11,"train",0
"climbing a rope","YnXzvLYWMQs",0,10,"train",0
"climbing a rope","pGO23Pe5Hjw",9,19,"train",0
"climbing a rope","q8qRPzugV-0",22,32,"train",0
"climbing a rope","EEpilrjRmVM",28,38,"train",0
"climbing a rope","_OwqS4S82vE",1,11,"train",0
"climbing ladder","LgHcexoy07M",17,27,"train",0
"climbing ladder","2yG8--CVzQM",0,10,"train",0
"climbing ladder","OaW5Xu2PPS0",0,10,"train",0
"climbing ladder","wB_cGjBxjBU",5,15,"train",0
"climbing ladder","f32VWObk-dc",24,34,"train",0
"climbing tree","Lb5woidoCIs",1,11,"train",0
"climbing tree","zfRbnFDLAgo",40,50,"train",0
"climbing tree","_t3ZtNdIdV0",50,60,"train",0
"climbing tree","6T7wfpJB_JA",0,10,"train",0
"climbing tree","3IwiykM4bpU",402,412,"train",0
"contact juggling","B68Wfy0J1os",11,21,"train",0
"contact juggling","VH1F-e8sUK4",285,295,"train",0
"contact juggling","hAlWVJhtYw8",2,12,"train",0
"contact juggling","MMBnpgvtsE0",38,48,"train",0
"contact juggling","OVCdbL3SouA",2,12,"train",0
"cooking chicken","X3M8ai5T9hQ",206,216,"train",0
"cooking chicken","f7-WJWgaGmk",60,70,"train",0
"cooking chicken","1Xw34aPweTY",310,320,"train",0
"cooking chicken","6HwnAdo_IlQ",271,281,"train",0
"cooking chicken","-ToYMwdP3l8",146,156,"train",0
"cooking egg","uZ_dexSeZAY",117,127,"train",0
"cooking egg","q6YeMbnnZgA",65,75,"train",0
"cooking egg","aifqco3Ef18",6,16,"train",0
"cooking egg","9lGDPvPJfv4",0,10,"train",0
"cooking egg","N71mjg7L_lU",238,248,"train",0
"cooking on campfire","2WfSMe5LXic",127,137,"train",0
"cooking on campfire","zIprHlQkx88",98,108,"train",0
"cooking on campfire","3i1w2LcpaGU",371,381,"train",0
"cooking on campfire","ZHVW7gW5Dos",360,370,"train",0
"cooking on campfire","XAwWX4oazbE",207,217,"train",0
"cooking sausages","QPwv8UzVZCE",224,234,"train",0
"cooking sausages","pS7ugvpeWYk",369,379,"train",0
"cooking sausages","jusqd_yAVYc",377,387,"train",0
"cooking sausages","TBlJlvvtZPA",416,426,"train",0
"cooking sausages","nf7uzWgQwA8",39,49,"train",0
"counting money","iBpC16nu08A",37,47,"train",0
"counting money","cbJUEQShkZI",107,117,"train",0
"counting money","RqU17wCBF-8",28,38,"train",0
"counting money","JIlDe53pXhA",43,53,"train",0
"counting money","itAAh59W2As",6,16,"train",0
"country line dancing","_pTshGENNOE",56,66,"train",0
"country line dancing","S1Ex9uEpN7s",2,12,"train",0
"country line dancing","tDzjBwKJOf8",25,35,"train",0
"country line dancing","LRmmzzqonS0",77,87,"train",0
"country line dancing","RtK94Ms9Pdk",89,99,"train",0
"cracking neck","SjPKRVD10IA",4,14,"train",0
"cracking neck","TZAKOOhELC0",238,248,"train",0
"cracking neck","U0C-ztBgApA",4,14,"train",0
"cracking neck","tR58CXFcsso",19,29,"train",0
"cracking neck","iKXrqYUSNsM",96,106,"train",0
"crawling baby","g2_XQibqRF0",28,38,"train",0
"crawling baby","7fiqr_HGgyw",30,40,"train",0
"crawling baby","SHtAryUGezw",10,20,"train",0
"crawling baby","AKq0hFkbbUE",256,266,"train",0
"crawling baby","QD01tjgfURQ",11,21,"train",0
"crossing river","Es-2gEPpP1A",31,41,"train",0
"crossing river","uIgR1Xv7lPQ",0,10,"train",0
"crossing river","a9in9_7h6mE",0,10,"train",0
"crossing river","pzaQwqq51YQ",22,32,"train",0
"crossing river","DlDDbtKKrnM",477,487,"train",0
"crying","HFMVD0eGnns",219,229,"train",0
"crying","pgz1Y7jLzSs",26,36,"train",0
"crying","qcSK7N9QI5I",2,12,"train",0
"crying","ZnGO4o9SqHY",87,97,"train",0
"crying","ezg0V3ce0HQ",8,18,"train",0
"curling hair","qRLXNEt5y78",43,53,"train",0
"curling hair","vxZYuRDhLTc",565,575,"train",0
"curling hair","FNnG7JWHV4g",147,157,"train",0
"curling hair","-XfgcDQQ9AY",158,168,"train",1
"curling hair","Ma11o_KvL9w",116,126,"train",0
"cutting nails","j6_7wYvFzRg",23,33,"train",0
"cutting nails","JYM-DbO1i98",2,12,"train",0
"cutting nails","yHTECHwfr14",34,44,"train",0
"cutting nails","RHyZBj_u2Y4",49,59,"train",0
"cutting nails","RJZ5T3SRgvY",0,10,"train",0
"cutting pineapple","oYKnKcBlt3k",55,65,"train",0
"cutting pineapple","XjTp066_arw",0,10,"train",0
"cutting pineapple","H4TGx_cEb2U",198,208,"train",0
"cutting pineapple","O1I26doEtyA",85,95,"train",0
"cutting pineapple","z2Lna25qn5A",65,75,"train",0
"cutting watermelon","8e3MxL7e4yk",40,50,"train",0
"cutting watermelon","vknEO26psS0",21,31,"train",0
"cutting watermelon","A6clHuC5RJY",44,54,"train",0
"cutting watermelon","faUksSrXGrI",35,45,"train",0
"cutting watermelon","GlQ3wTzdSOI",10,20,"train",0
"dancing ballet","E9ogX7suKIc",202,212,"train",0
"dancing ballet","kXl1u0-BZi8",158,168,"train",0
"dancing ballet","ucGBNLJxd-E",151,161,"train",0
"dancing ballet","wZ5gyu-fWNQ",17,27,"train",0
"dancing ballet","tnJNrRSE43w",58,68,"train",0
"dancing charleston","-E8jrCQ3fhE",19,29,"train",0
"dancing charleston","_g_FqjWXAWI",11,21,"train",0
"dancing charleston","oW3AsOl1FeA",140,150,"train",0
"dancing charleston","9-Ugefjz0fE",21,31,"train",0
"dancing charleston","Qt8wUI1BCKI",79,89,"train",0
"dancing gangnam style","z6xU0mRX7Ss",15,25,"train",0
"dancing gangnam style","VwjXwL0NFFM",0,10,"train",0
"dancing gangnam style","nbQI3RETfQE",79,89,"train",0
"dancing gangnam style","_jMM6_qebDg",92,102,"train",0
"dancing gangnam style","-yf7-CgpyAE",12,22,"train",0
"dancing macarena","ISCfEymAm28",152,162,"train",0
"dancing macarena","kbH7f1-vNg4",29,39,"train",0
"dancing macarena","IrwDa8hRHvc",2,12,"train",0
"dancing macarena","YEHrvh0mUGI",86,96,"train",0
"dancing macarena","OpqE6Ooniro",51,61,"train",0
"deadlifting","DXNr8fEy3PE",23,33,"train",0
"deadlifting","Aqmu83KeeGs",30,40,"train",0
"deadlifting","_UZYN6TMHFw",4,14,"train",0
"deadlifting","SLKhT1zIrKM",23,33,"train",0
"deadlifting","zeXxtncrs_8",9,19,"train",0
"decorating the christmas tree","xDiWzL0kaKY",38,48,"train",0
"decorating the christmas tree","YdoCGlIOzfA",12,22,"train",0
"decorating the christmas tree","oj7zXeHc7Mg",31,41,"train",0
"decorating the christmas tree","UxaVGmELb0o",17,27,"train",0
"decorating the christmas tree","5CGuXQV6BkY",182,192,"train",0
"digging","3XEdL2hRhMM",14,24,"train",0
"digging","CJKvFa6GQg0",182,192,"train",0
"digging","mDvKvPsPQoA",6,16,"train",0
"digging","xAn2YhIqFjQ",1,11,"train",0
"digging","C6zFh6DRdmU",12,22,"train",0
"dining","LhFxcih_Os0",287,297,"train",0
"dining","vTgyKQ9WEFE",2336,2346,"train",0
"dining","o0ak2nKCs8w",4,14,"train",0
"dining","N_ypttJlbk0",3111,3121,"train",0
"dining","DtfQio-5tT4",49,59,"train",0
"disc golfing","0PX-e1Vszs4",59,69,"train",0
"disc golfing","B0hah3xKmLQ",3,13,"train",0
"disc golfing","qvEZTwpy4HY",37,47,"train",0
"disc golfing","rGhQfMAz2iE",9,19,"train",0
"disc golfing","IX4AHTjWqJA",30,40,"train",0
"diving cliff","iMP-NJyXMGY",13,23,"train",0
"diving cliff","f0XxH_VREUE",0,10,"train",0
"diving cliff","dxkmAVT4LPc",76,86,"train",0
"diving cliff","EH0X34FXwFU",0,10,"train",0
"diving cliff","bnYPMliHF_4",274,284,"train",0
"dodgeball","-Wyq_Xj2ZC0",66,76,"train",0
"dodgeball","RM4U-WwKY3E",2,12,"train",0
"dodgeball","sasHmWNPmnQ",178,188,"train",0
"dodgeball","yQNDEBOw61Y",106,116,"train",0
"dodgeball","lvhQL0mnvRE",41,51,"train",0
"doing aerobics","vJlZTLy70RE",171,181,"train",0
"doing aerobics","Ore6sw7BhPo",128,138,"train",0
"doing aerobics","-khwg4aAQaU",150,160,"train",0
"doing aerobics","XhzkXQg5-nY",57,67,"train",0
"doing aerobics","bGKKNCMuExk",425,435,"train",0
"doing laundry","6q1MyI4yEco",10,20,"train",0
"doing laundry","X8uE-tGtp3M",51,61,"train",0
"doing laundry","SmJ5SmHptcQ",79,89,"train",0
"doing laundry","Jz_2SlLAgLA",2,12,"train",0
"doing laundry","a6B4uLwKb40",72,82,"train",0
"doing nails","R2Al8_OzCtU",464,474,"train",0
"doing nails","ICXWlSG5vVA",98,108,"train",0
"doing nails","uKOnPVgNjYo",283,293,"train",0
"doing nails","XgWy6uGJzi4",2,12,"train",0
"doing nails","QlotVIoQLyU",310,320,"train",0
"drawing","amub1rTgfp4",260,270,"train",0
"drawing","RtlvWRNFYb4",217,227,"train",0
"drawing","UP9rqvKglg4",258,268,"train",0
"drawing","pVjy-i3u5OM",57,67,"train",0
"drawing","DXeS-I1jJuw",62,72,"train",0
"dribbling basketball","6rDjmP0mZLI",2,12,"train",0
"dribbling basketball","IwtYsvoMW64",0,10,"train",0
"dribbling basketball","MCq7873UJbQ",132,142,"train",0
"dribbling basketball","Z6_b2dcY36w",97,107,"train",0
"dribbling basketball","1926p23ooUM",23,33,"train",0
