"label","youtube_id","time_start","time_end","split","is_cc"
"knitting","-23v6JvvGEw",36,46,"train",0
"playing xylophone","-kBIyyVuFDg",6,16,"train",0
"arm wrestling","-4nflM3cGb8",3,13,"train",0
"riding scooter","-3G0QNoFG3Q",126,136,"train",0
"feeding goats","-6xwGSKVz-M",59,69,"train",0
"playing basketball","-5FtgMgevX0",14,24,"train",0
"washing feet","-6F0zYW3gUQ",110,120,"train",0
"riding mule","-48nAx22Iwk",394,404,"train",0
"doing aerobics","-khwg4aAQaU",150,160,"train",0
"ironing","-2pbmcFUlqg",8,18,"train",0
"petting animal (not cat)","--lrRHlpK68",218,228,"train",0
"trimming trees","-58gQSNMClg",10,20,"train",0
"vault","-56mkeU3eBs",3,13,"train",1
"unboxing","-0gO3FmnKD8",135,145,"train",0
"abseiling","-3B32lodo2M",59,69,"train",0
"sharpening pencil","-4GdVLFjMEQ",2,12,"train",0
"peeling apples","-GvB7aLrCqQ",26,36,"train",0
"moving furniture","-hoffNAuqFQ",12,22,"train",0
"gymnastics tumbling","--jD1Yu5ZnQ",37,47,"train",0
"building cabinet","-lNarmTZYMY",987,997,"train",0
"juggling fire","-JbR506yhck",179,189,"train",0
"shooting goal (soccer)","04Q2WjIUd9g",59,69,"train",0
"hammer throw","-6uNJNQKvO8",2,12,"train",0
"grinding meat","-aDdrbUQHus",87,97,"train",0
"balloon blowing","--gx7yb1-x0",298,308,"train",0
"tying tie","-3x5jizdxd8",112,122,"train",0
"swimming butterfly stroke","-7CUmysoRwA",15,25,"train",0
"cheerleading","-4kKgG116hE",279,289,"train",0
"bouncing on trampoline","-I_-vcckw2Q",4,14,"train",0
"shoveling snow","-1IlTIWPNs4",27,37,"train",0
"bending metal","-oYimYcdzlI",20,30,"train",0
"exercising with an exercise ball","09bd5Ow6qOs",297,307,"train",0
"hurdling","--VnA3ztuZg",57,67,"train",0
"golf driving","-2KvnLMnrA0",0,10,"train",0
"washing dishes","-AuWiTbwza0",95,105,"train",0
"diving cliff","-AiFIrQGTKw",13,23,"train",0
"push up","-cVVZilz84E",40,50,"train",0
"making pizza","-Fs-zEnMYgc",354,364,"train",0
"sanding floor","-0oMsq-9b6c",95,105,"train",0
"making snowman","--wGzXrj0SU",20,30,"train",0
"kitesurfing","-4ano7snqlI",36,46,"train",0
"drop kicking","-2mJ8r8dDrA",5,15,"train",0
"archery","-1q7jA3DXQM",5,15,"train",0
"shaking hands","-0HRnFhCDdc",26,36,"train",0
"rock scissors paper","-7ryu73myKM",0,10,"train",0
"bench pressing","-Dffz-3yZgw",22,32,"train",0
"bookbinding","-43sC7j9Qa0",156,166,"train",0
"crossing river","-f8InWh-wVQ",23,33,"train",0
"throwing axe","-9I-vPAfTGs",3,13,"train",0
"front raises","-5rZ-3xLUEc",60,70,"train",0
"massaging person's head","0YplelvlPV0",25,35,"train",0
"tying knot (not on a tie)","-g1NC5XFWgE",44,54,"train",0
"cooking egg","-1QHAHq6DnE",138,148,"train",0
"dodgeball","-6dpMzaBUdM",59,69,"train",0
"riding or walking with horse","-bo7J5hXXY0",40,50,"train",0
"waxing back","-2tv_BBzNnY",17,27,"train",0
"brush painting","-qVVWewoqeQ",50,60,"train",0
"fixing hair","-IWhEBQqXJE",13,23,"train",0
"counting money","-F-p4_qAti8",15,25,"train",0
"changing wheel","-6JrhxygJEY",238,248,"train",0
"biking through snow","--mI_-gaZLk",18,28,"train",0
"snowmobiling","-51p8XCHUvU",7,17,"train",0
"scrambling eggs","-Ksa9zLMykA",185,195,"train",0
"shredding paper","0HomhRSwTWA",23,33,"train",0
"digging","-Eh3Bruf27Y",19,29,"train",1
"sled dog racing","-6pdXuaNA88",0,10,"train",0
"tapping pen","-cqvQ7Pzqpk",3,13,"train",0
"writing","-Jr4hagX4fY",783,793,"train",0
"stretching arm","-0S06ntmN_I",19,29,"train",0
"yoga","-L1yIZqIZws",3098,3108,"train",0
"kicking soccer ball","-KZyAZT8NnA",40,50,"train",0
"applying cream","-PBcrI7pXUM",24,34,"train",0
"hula hooping","-0LoCy0-F9A",18,28,"train",0
"triple jump","-cn5vuf7OB8",0,10,"train",0
"laying bricks","-QTcaQkCI5s",10,20,"train",0
"golf putting","-0Yb1tD3HUo",4,14,"train",0
"watering plants","-8E267pU6ZY",97,107,"train",0
"high kick","-d2hAwGLFQg",33,43,"train",0
"curling hair","-avZUSj7gks",101,111,"train",0
"eating watermelon","-0aDlftNdyw",280,290,"train",0
"hopscotch","-b9VMb0QwtY",1,11,"train",0
"playing tennis","--56QUhyDQM",185,195,"train",0
"mowing lawn","-24HxQDHOAM",1,11,"train",0
"ski jumping","-ge-jtX1Ik0",10,20,"train",0
"driving tractor","-hwCBoQYeQ0",65,75,"train",0
"cleaning gutters","-DNpxXEiq1U",31,41,"train",0
"dying hair","-d_uc-ryKz8",181,191,"train",0
"finger snapping","-FX7AD8Z2lc",17,27,"train",0
"cutting nails","0HeSngTzpnU",57,67,"train",0
"windsurfing","-0Y3H5y75t8",20,30,"train",0
"playing poker","-1B_EOupmCE",76,86,"train",0
"carrying baby","-3I-5fQwkbo",21,31,"train",0
"ice skating","-3kZSi5qjRM",0,10,"train",0
"slacklining","-DVSkbP_NPw",3,13,"train",0
"decorating the christmas tree","-JJXRa8jwig",118,128,"train",0
"smoking","-3oeeJz_bjk",9,19,"train",0
"using remote controller (not gaming)","-3dkp9Yl6ZQ",17,27,"train",0
"tasting beer","-JKOYkHiTaU",19,29,"train",0
"playing ukulele","-39sHTky_6o",125,135,"train",0
"shot put","-4_M902vHy8",11,21,"train",0
"javelin throw","--_S9IDQPLg",135,145,"train",0
"jetskiing","-fXVYU2uO8w",27,37,"train",0
"waxing eyebrows","-ipqEXc3mw0",58,68,"train",0
"arranging flowers","-QAvfyZOc-c",0,10,"train",0
"running on treadmill","-Oa_aFrFxd4",2,12,"train",0
"eating ice cream","-8dDh2JSy_E",3,13,"train",0
"snatch weight lifting","-9jeLdtcJpc",65,75,"train",0
"playing cymbals","-FzTWhpVNFg",43,53,"train",0
"tying bow tie","-9CQMA1SbbY",136,146,"train",0
"garbage collecting","-goqFAvhM6g",36,46,"train",0
"sword fighting","--vs4LFYKc8",273,283,"train",0
"pushing wheelchair","--bO6XwZ9HI",41,51,"train",0
"playing keyboard","-eg8jVPRVkE",47,57,"train",0
"grooming dog","-CDYMieF_a0",13,23,"train",0
"ripping paper","-QFrYnizm74",5,15,"train",0
"playing controller","-8m7ow29bUg",74,84,"train",0
"playing bass guitar","-4rho9cuCfk",14,24,"train",0
"catching or throwing frisbee","-CM30ROUHEs",4,14,"train",0
"brushing teeth","--IPbe5ZMCI",2,12,"train",0
"breakdancing","-5E7gmuQ1D8",6,16,"train",0
